,Week,Player,Status,Proj,Fantasy: Full Game,position,team_abbr,game_half,Passing_Yards,Pass_TDs,Interceptions,two_point_conversions_pass,Receiving_Yards,receiving_touchdown,receptions,two_point_conversions_rec,Rushing_Yards,Rushing_TDs,two_point_conversions,Fumbles,Fantasy: First Half,Fantasy: Second Half,Team_Rushing_Yards,Team_Rushing_TDs,Team_Passing_Yards,Team_Passing_TDs,Team_Interceptions,Team_Fumbles,Team_Receiving_Yards,Team_Completions,Team_Receiving_TDs,cum_avg_targets,cum_avg_receptions,cum_avg_carries,cum_avg_target_share,cum_avg_air_yards_share,cum_avg_interceptions,cum_avg_passing_yards_after_catch,cum_avg_completions,cum_avg_pacr,cum_avg_racr,cum_avg_rushing_yards,cum_avg_rushing_fumbles,cum_avg_wopr,team_cum_avg_passing_yards,team_cum_avg_passing_tds,team_cum_avg_attempts,team_cum_avg_completions,team_cum_avg_rushing_yards,team_cum_avg_rushing_tds,team_cum_avg_sacks,team_cum_avg_interceptions,team_cum_avg_rushing_fumbles,team_cum_avg_sack_fumbles
619,8.0,Tyreek Hill,ACTIVE,21.202075005700003,31.5,WR,MIA,Half1,0.0,0.0,0.0,0.0,142.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,21.200000000000003,10.299999999999997,26.0,0.0,253.0,2.0,0.0,1.0,253.0,17.0,2.0,12.0,8.333333333333334,1.0,0.30849963426589966,0.3577122688293457,0.0,0.0,0.0,0.0,1.0011030435562134,6.0,0.0,0.7131480574607849,296.1428527832031,1.0,38.0,19.0,85.42857360839844,0.0,2.5,1.75,0.0,1.0
620,8.0,Raheem Mostert,ACTIVE,14.650560918,7.7,RB,MIA,Half1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.2000000000000002,6.5,26.0,0.0,253.0,2.0,0.0,1.0,253.0,17.0,2.0,3.0,1.5,10.333333333333334,0.07952042669057846,0.015360585413873196,0.0,0.0,0.0,0.0,1.2654762268066406,55.42856979370117,0.0,0.13003304600715637,296.1428527832031,1.0,38.0,19.0,85.42857360839844,0.0,2.5,1.75,0.0,1.0
621,8.0,Jaylen Waddle,ACTIVE,15.743263147799999,30.6,WR,MIA,Half1,0.0,0.0,0.0,0.0,72.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,25.2,5.400000000000002,26.0,0.0,253.0,2.0,0.0,1.0,253.0,17.0,2.0,8.5,7.0,1.0,0.21003694832324982,0.27250534296035767,0.0,0.0,0.0,0.0,1.1736857891082764,8.5,0.0,0.5058091282844543,296.1428527832031,1.0,38.0,19.0,85.42857360839844,0.0,2.5,1.75,0.0,1.0
622,8.0,CeeDee Lamb,ACTIVE,15.3247510951,18.8,WR,DAL,Half1,0.0,0.0,0.0,0.0,65.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,16.6,2.1999999999999993,98.0,2.0,180.0,2.0,1.0,0.0,180.0,16.0,4.0,11.0,5.666666666666667,1.0,0.3361317217350006,0.4226803183555603,0.0,0.0,0.0,0.0,0.7448733448982239,3.6666667461395264,0.0,0.8000736832618713,194.42857360839844,1.0,28.5,19.0,121.71428680419922,1.0,2.200000047683716,2.0,0.0,0.0
623,8.0,Tony Pollard,QUESTIONABLE,16.522457922,33.7,RB,DAL,Half1,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,51.0,1.0,0.0,0.0,13.700000000000001,20.0,98.0,2.0,180.0,2.0,1.0,0.0,180.0,16.0,4.0,3.5,1.0,11.0,0.09865213185548782,-0.001458033686503768,0.0,0.0,0.0,0.0,4.9583330154418945,53.57143020629883,0.0,0.1471276879310608,194.42857360839844,1.0,28.5,19.0,121.71428680419922,1.0,2.200000047683716,2.0,0.0,0.0
624,8.0,Dalton Schultz,ACTIVE,8.280871374,13.4,TE,DAL,Half1,0.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.4,8.0,98.0,2.0,180.0,2.0,1.0,0.0,180.0,16.0,4.0,4.5,6.0,0.0,0.1461460292339325,0.08197606354951859,0.0,0.0,0.0,0.0,1.9977778196334839,0.0,0.0,0.27660226821899414,194.42857360839844,1.0,28.5,19.0,121.71428680419922,1.0,2.200000047683716,2.0,0.0,0.0
625,8.0,Dak Prescott,ACTIVE,15.330418586,25.4,QB,DAL,Half1,180.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,22.799999999999997,2.6000000000000014,98.0,2.0,180.0,2.0,1.0,0.0,180.0,16.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,67.5,19.0,0.7150164842605591,0.0,11.0,0.0,0.0,194.42857360839844,1.0,28.5,19.0,121.71428680419922,1.0,2.200000047683716,2.0,0.0,0.0
626,8.0,Mark Andrews,ACTIVE,15.873155127799999,6.300000000000001,TE,BAL,Half1,0.0,0.0,0.0,0.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.300000000000001,0.0,27.0,0.0,144.0,0.0,0.0,1.0,144.0,19.0,0.0,9.4,7.0,1.0,0.3028375804424286,0.3636648654937744,0.0,0.0,0.0,0.0,0.7375848293304443,3.5,0.0,0.7088217735290527,199.57142639160156,1.8,29.0,16.6,156.2857208251953,1.0,2.3333332538604736,1.2000000476837158,1.0,0.0
627,8.0,Lamar Jackson,QUESTIONABLE,21.26551281,21.82,QB,BAL,Half1,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.859999999999999,15.96,27.0,0.0,144.0,0.0,0.0,1.0,144.0,19.0,0.0,0.0,0.0,9.5,0.0,0.0,1.2000000476837158,84.85713958740234,16.6,0.8725504875183105,0.0,72.85713958740234,1.0,0.0,199.57142639160156,1.8,29.0,16.6,156.2857208251953,1.0,2.3333332538604736,1.2000000476837158,1.0,0.0
628,8.0,Antonio Gibson,QUESTIONABLE,8.617176688,20.700000000000003,RB,WAS,Half1,0.0,0.0,0.0,0.0,39.0,1.0,4.0,0.0,16.0,0.0,0.0,0.0,15.5,5.200000000000003,62.0,0.0,108.0,1.0,0.0,0.0,108.0,8.0,1.0,2.0,3.3333333333333335,7.0,0.11425240337848663,0.036155011504888535,0.0,0.0,0.0,0.0,0.9971014261245728,39.0,0.0,0.19668711721897125,241.42857360839844,2.0,39.0,25.5,105.57142639160156,1.0,3.4285714626312256,1.399999976158142,1.3333333730697632,1.0
